t,x,v
7.85,1.19858,-0.235088
7.86,1.19622,-0.236827
7.87,1.19385,-0.238601
7.88,1.19145,-0.240411
7.89,1.18904,-0.242257
7.9,1.18661,-0.244142
7.91,1.18416,-0.246066
7.92,1.18168,-0.248031
7.93,1.17919,-0.250037
7.94,1.17668,-0.252087
7.95,1.17415,-0.254182
7.96,1.1716,-0.256322
7.97,1.16903,-0.258511
7.98,1.16643,-0.260748
7.99,1.16381,-0.263037
8,1.16117,-0.265378
8.01,1.1585,-0.267774
8.02,1.15581,-0.270226
8.03,1.1531,-0.272737
8.04,1.15036,-0.275308
8.05,1.14759,-0.277942
8.06,1.1448,-0.280641
8.07,1.14198,-0.283408
8.08,1.13913,-0.286244
8.09,1.13625,-0.289153
8.1,1.13335,-0.292137
8.11,1.13041,-0.2952
8.12,1.12744,-0.298343
8.13,1.12444,-0.301572
8.14,1.12141,-0.304888
8.15,1.11835,-0.308296
8.16,1.11525,-0.311798
8.17,1.11211,-0.3154
8.18,1.10894,-0.319105
8.19,1.10573,-0.322918
8.2,1.10248,-0.326843
8.21,1.09919,-0.330885
8.22,1.09586,-0.33505
8.23,1.09249,-0.339341
8.24,1.08907,-0.343767
8.25,1.08561,-0.348331
8.26,1.08211,-0.353042
8.27,1.07855,-0.357905
8.28,1.07495,-0.362928
8.29,1.07129,-0.368119
8.3,1.06758,-0.373485
8.31,1.06382,-0.379036
8.32,1.06,-0.38478
8.33,1.05613,-0.390727
8.34,1.05219,-0.396888
8.35,1.04819,-0.403273
8.36,1.04412,-0.409895
8.37,1.03999,-0.416767
8.38,1.03578,-0.4239
8.39,1.03151,-0.431311
8.4,1.02716,-0.439014
8.41,1.02273,-0.447026
8.42,1.01822,-0.455365
8.43,1.01362,-0.464049
8.44,1.00893,-0.473099
8.45,1.00416,-0.482537
8.46,0.999282,-0.492386
8.47,0.994307,-0.502673
8.48,0.989227,-0.513423
8.49,0.984037,-0.524668
8.5,0.978732,-0.536439
8.51,0.973306,-0.54877
8.52,0.967754,-0.561699
8.53,0.96207,-0.575267
8.54,0.956247,-0.589518
8.55,0.950277,-0.604501
8.56,0.944154,-0.620266
8.57,0.937869,-0.636872
8.58,0.931413,-0.654381
8.59,0.924778,-0.672862
8.6,0.917953,-0.692387
8.61,0.910927,-0.71304
8.62,0.903688,-0.734911
8.63,0.896224,-0.758098
8.64,0.888521,-0.782709
8.65,0.880565,-0.808867
8.66,0.872338,-0.836703
8.67,0.863824,-0.866364
8.68,0.855004,-0.898014
8.69,0.845857,-0.931835
8.7,0.83636,-0.968029
8.71,0.826488,-1.00682
8.72,0.816214,-1.04846
8.73,0.805508,-1.09324
8.74,0.794338,-1.14147
8.75,0.782666,-1.1935
8.76,0.770454,-1.24974
8.77,0.757656,-1.31065
8.78,0.744223,-1.37673
8.79,0.730102,-1.44858
8.8,0.71523,-1.52685
8.81,0.699541,-1.61231
8.82,0.682957,-1.70582
8.83,0.665394,-1.80836
8.84,0.646756,-1.92107
8.85,0.626935,-2.04526
8.86,0.605808,-2.18242
8.87,0.583237,-2.33428
8.88,0.559067,-2.50284
8.89,0.533117,-2.6904
8.9,0.505187,-2.8996
8.91,0.475043,-3.13351
8.92,0.442422,-3.39563
8.93,0.407023,-3.68998
